Main Genre,Subgenre,Category ID,Num Games,Scaling Exponent a,Std Error a,Trait Diversity Exponent b (ROM),Std Error b (ROM),Trait Diversity Exponent b (CPU),Std Error b (CPU),Bootleg Ratio,Collaboration Ratio,Collapse Classification
ALL,ALL,Global,7822,0.303,0.003,0.972,0.001,0.757,0.001,,,NA
Arcade,Pinball,24,50,0.374,0.025,0.954,0.042,0.874,0.047,0.067,0.933,Resilient
Ball & Paddle,Breakout,13,135,0.352,0.017,0.789,0.016,0.734,0.014,0.421,0.579,Resilient
Ball & Paddle,Jump and Touch,9,23,0.473,0.043,0.365,0.015,0.356,0.018,0.091,0.909,Resilient
Driving,1st Person,4,89,0.178,0.026,1.898,0.056,1.473,0.049,0.0,1.0,Resilient
Driving,Boat,44,20,0.305,0.038,1.01,0.198,2.705,0.428,0.0,1.0,Resilient
Driving,Misc.,81,11,0.827,0.024,0.948,0.06,0.948,0.06,,,Resilient
Driving,Motorbike,55,88,0.315,0.035,1.19,0.025,1.085,0.024,0.25,0.75,Resilient
Driving,Plane,74,13,0.114,0.092,1.184,0.194,1.057,0.129,,,Resilient
Driving,Race,1,114,0.257,0.041,0.934,0.014,0.722,0.009,0.091,0.909,Resilient
Driving,Race (chase view),37,354,0.197,0.027,1.949,0.017,1.886,0.016,0.129,0.871,Resilient
Driving,Race (chase view) Bike,89,9,-0.045,0.089,6.596,0.957,6.596,0.957,,,Resilient
Driving,Race 1st Person,63,67,0.058,0.072,2.356,0.049,2.276,0.045,0.0,1.0,Resilient
Driving,Race Bike,66,11,0.47,0.091,0.787,0.14,0.528,0.104,0.0,1.0,Resilient
Driving,Race Track,5,49,0.43,0.026,0.804,0.053,0.847,0.046,0.5,0.5,Resilient
Driving,Truck Guide,92,5,-0.0,0.0,-6.631,inf,-0.0,0.0,,,Resilient
Fighter,2.5D,78,486,0.4,0.015,1.742,0.034,1.499,0.018,0.234,0.766,Resilient
Fighter,2D,62,88,0.163,0.034,1.231,0.073,1.249,0.067,0.111,0.889,Resilient
Fighter,3D,85,27,-0.238,0.048,7.251,0.567,4.439,0.35,,,Resilient
Fighter,Field,23,19,0.296,0.071,0.509,0.049,0.483,0.032,0.0,1.0,Resilient
Fighter,Misc.,77,8,0.515,0.336,1.555,0.273,0.784,0.11,1.0,0.0,Collapsing
Fighter,Versus,68,1015,0.056,0.02,2.804,0.024,2.121,0.017,0.058,0.942,Resilient
Fighter,Versus Co-op,82,36,-0.035,0.11,2.423,0.272,1.921,0.146,0.0,1.0,Resilient
Fighter,Vertical,54,27,0.287,0.032,1.034,0.053,1.021,0.056,0.0,1.0,Resilient
Maze,Ball Guide,69,8,0.252,0.042,0.916,0.019,0.916,0.019,0.0,1.0,Resilient
Maze,Blocks,51,13,0.359,0.105,1.271,0.162,1.121,0.136,,,Resilient
Maze,Change Surface,53,8,0.176,0.022,0.706,0.162,0.589,0.122,0.0,1.0,Resilient
